"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
4037,"LESO","medium_airport","San Sebastian Airport",43.35649871826172,-1.7906099557876587,16,"EU","ES","ES-PV","Hondarribia","yes","LESO","EAS",,,"https://en.wikipedia.org/wiki/San_Sebasti%C3%A1n_Airport",
43271,"LESP","heliport","Hospital San Pau Heliport",41.41350173950195,2.1719601154327393,265,"EU","ES","ES-CT","Barcelona","no","LESP",,,,,
43302,"LESS","small_airport","Sotos Airport",40.204200744628906,-2.143889904022217,3170,"EU","ES","ES-CM","Sotos","no","LESS",,,,,
4038,"LEST","large_airport","Santiago de Compostela Airport",42.89630126953125,-8.415140151977539,1213,"EU","ES","ES-GA","Santiago de Compostela","yes","LEST","SCQ",,,"https://en.wikipedia.org/wiki/Santiago_de_Compostela_Airport",
4039,"LESU","small_airport","Pirineus - la Seu d'Urgel Airport",42.3386,1.40917,2625,"EU","ES","ES-CT","La Seu d'Urgell Pyrenees and Andorra","yes","LESU","LEU",,"http://www10.gencat.net/ptop/AppJava/cat/aerotrans/aerodroms/aerodroms/pirineus.jsp","https://en.wikipedia.org/wiki/La_Seu_d'Urgell_Airport","Montferrer, Castellbò"
43301,"LETA","heliport","Servei Generals Del Circuit De Catalunya Heliport",41.57400131225586,2.257159948348999,470,"EU","ES","ES-CT","Barcelona","no","LETA",,,,,
43286,"LETC","small_airport","Matilla De Los Caños Airport",41.530601501464844,-4.925000190734863,2300,"EU","ES","ES-CL","Valladolid","no","LETC",,,,,
43287,"LETE","small_airport","Morante Airport",39.03689956665039,-6.6905598640441895,703,"EU","ES","ES-EX","Badajoz","no","LETE",,,,,
43304,"LETF","small_airport","Tomás Fernández Espada Airport",36.8717934415,-5.64877510071,470,"EU","ES","ES-AN","Villamartin","yes","LETF",,,"http://www.fly-pedro.com/en/ad.html",,
4040,"LETI","small_airport","El Tietar Airport",40.243900299072266,-4.794439792633057,1401,"EU","ES","ES-CM","La Iglesuela","no","LETI",,,,,
316427,"LETL","medium_airport","Teruel Airport",40.403,-1.2183,3380,"EU","ES","ES-AR","Teruel","no","LETL","TEV",,"http://www.aeropuertodeteruel.com/en/","https://en.wikipedia.org/wiki/Teruel_Airport",
43299,"LETM","heliport","Sant Martí De Sescorts Heliport",42.015499114990234,2.3192501068115234,1672,"EU","ES","ES-CT",,"no","LETM",,,,,
